doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1136/bmjopen-2021-057206;BMJ;YFA_BMJ;;Uzma Khan;Februari;2022;;1500,00;List price;GBP;;Gold
10.1136/lupus-2021-000607;BMJ;YFA_BMJ;;Elisabeth Boström;Februari;2022;;1950,00;List price;GBP;;Gold
10.1192/bjo.2022.37;Cambridge University Press;YFA_CAM;;Helio Manhica;Februari;2022;;1640,00;List price;GBP;;Gold
10.1017/ash.2022.32;Cambridge University Press;YFA_CAM;;Suzanne van der Werff;Februari;2022;;1600,00;List price;GBP;;Gold
10.1016/j.celrep.2022.110503;Cell Press;YFA_CEL;;Quirin Hammer;Februari;2022;;2724,00;Listpris, Medel från Niklas fil och Agresso 2021;EUR;;Gold
10.1016/j.envint.2022.107114;Elsevier;YFA_ELS;;Agneta Åkesson;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.ctim.2022.102815;Elsevier;YFA_ELS;;Mats Hallgren;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.esmoop.2022.100427;Elsevier;YFA_ELS;;Pia Osterlund;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.xjtc.2022.02.021;Elsevier;YFA_ELS;;Torbjörn Ivert;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.ebiom.2022.103882;Elsevier;YFA_ELS;;Tingting Xu;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.redox.2022.102266;Elsevier;YFA_ELS;;Mattias Carlström;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.celrep.2022.110440;Elsevier;YFA_ELS;;Jonas Frisén;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
10.1016/j.bpsgos.2022.02.004;Elsevier;YFA_ELS;;Christian Mannfolk;Februari;2022;;2724,00;Listpris, medel från Niklas fil och Agresso 2020;EUR;;Gold
