doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type;Funder_paid
10.1021/acs.analchem.2c00391;American Chemical Society;YFA_ACS;;Roman Zubarev;April;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.2c00413;American Chemical Society;YFA_ACS;;Akos Vegvari;juni;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.2c02601;American Chemical Society;YFA_ACS;;Craig Wheelock;september;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.2c03119;American Chemical Society;YFA_ACS;;Roman Zubarev;oktober;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.2c03506;American Chemical Society;YFA_ACS;;Roman Zubarev;oktober;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.jafc.1c04418;American Chemical Society;YFA_ACS;;Axel Mie;februari;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsami.2c04210;American Chemical Society;YFA_ACS;;Yanhong Duo;maj;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acschembio.2c00344;American Chemical Society;YFA_ACS;;Gefei Chen;juli;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acschemneuro.1c00730;American Chemical Society;YFA_ACS;;Sangram Nag;Januari;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsptsci.2c00162;American Chemical Society;YFA_ACS;;Lukas Grätz;oktober;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/jacs.1c12512;American Chemical Society;YFA_ACS;;Roman Zubarev;Januari;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/jacs.2c03607;American Chemical Society;YFA_ACS;;Cagla Sahin;juni;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/jacsau.2c00438;American Chemical Society;YFA_ACS;;Axel Abelein;oktober;2022;;3500,00;List price;EUR;;Guld;FALSE
10.1021/acsptsci.2c00224;American Chemical Society;YFA_ACS;;John Janetzko;december;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsapm.2c01991;American Chemical Society;YFA_ACS;;Callum Stewart;december;2022;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.1c00203;American Chemical Society;YFA_ACS;;Wheelock, C;mars;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.analchem.1c02144;American Chemical Society;YFA_ACS;;Vukojevic, V;augusti;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.biochem.1c00003;American Chemical Society;YFA_ACS;;Johansson, J;februari;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.bioconjchem.0c00671;American Chemical Society;YFA_ACS;;Kondrashov, M;januari;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.estlett.1c00648;American Chemical Society;YFA_ACS;;Wheelock, C;september;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.jproteome.1c00378;American Chemical Society;YFA_ACS;;Pernemalm, M;juli;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsabm.1c00513;American Chemical Society;YFA_ACS;;Birgersson, U;augusti;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsanm.1c00668;American Chemical Society;YFA_ACS;;Sotiriou, G;april;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsapm.1c00243;American Chemical Society;YFA_ACS;;Ossipov, D;mars;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsbiomaterials.1c01354;American Chemical Society;YFA_ACS;;Chen, G;december;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsbiomedchemau.1c00017;American Chemical Society;YFA_ACS;;Laurent, A;augusti;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acschembio.1c00816;American Chemical Society;YFA_ACS;;Johansson, J;oktober;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acschemneuro.1c00651;American Chemical Society;YFA_ACS;;Nag, S;november;2021;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsinfecdis.0c00903;American Chemical Society;YFA_ACS;;Brauner, A;mars;2021;;3500,00;List price;EUR;;Hybrid;FALSE
