doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1021/acsinfecdis.0c00314;ACS;YFA_ACS;;Römling U;10-aug-20;2020;;4000;BK;USD;;hybrid
10.1021/acschemneuro.0c00135  ;ACS;YFA_ACS;;Schou, M;08-sep-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;;hybrid
10.1021/acschemneuro.0c00466;ACS;YFA_ACS;;Lietzau, G;05-okt-20;2020;;4000;BIBSAM_PRICE;USD;;hybrid
10.1021/acs.jproteome.0c00380;ACS;YFA_ACS;;Neogi, U;07-okt-20;2020;;4000;BIBSAM_PRICE;USD;;hybrid
10.1021/acsabm.0c01087;ACS;YFA_ACS;;Zandi Shafagh, R;27-okt-20;2020;;4000;BIBSAM_PRICE;USD;;hybrid
10.1021/acsami.0c15430;ACS;YFA_ACS;;Hassan, M;10-nov-20;2020;;4000;BIBSAM_PRICE;USD;;hybrid
10.1021/acschemneuro.0c00631;ACS;YFA_ACS;;Nag, S;26-nov-20;2020;;4000;BIBSAM_PRICE;USD;;hybrid
10.1021/acsinfecdis.0c00536;ACS;YFA_ACS;;Ray, S;11-dec-20;2020;;3300;BIBSAM_PRICE;USD;;hybrid
10.1021/acsbiomaterials.0c01308;ACS;YFA_ACS;;Rising, A;30-dec-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;;hybrid
10.1017/s0033291719003167;Cambridge;YFA_CAM;;AMIN, R;16-okt-19;2019;;1925;BK;GBP;FALSE;hybrid
10.1017/s0033291720000781;Cambridge;YFA_CAM;;Andersson, E;17-mars-20;2020;;1985;BK;GBP;FALSE;hybrid
10.1017/s1754470x20000562;Cambridge;YFA_CAM;;Beckman, M;02-nov-20;2020;;2045;BK;GBP;FALSE;hybrid
10.1017/s1463423620000560;Cambridge;YFA_CAM;;Berggren, E;02-nov-20;2020;;1925;BK;GBP;FALSE;gold
10.1192/bjo.2020.77;Cambridge;YFA_CAM;;Bjorkenstam, E;21-juli-20;2020;;1405;BK;GBP;FALSE;gold
10.1017/s1754470x20000483;Cambridge;YFA_CAM;;Bohman, B;01-sep-20;2020;;1985;BK;GBP;FALSE;hybrid
10.1017/s0954579420000620;Cambridge;YFA_CAM;;Carlsson, T;24-apr-20;2020;;1985;BK;GBP;FALSE;hybrid
10.1017/s0033291719000424;Cambridge;YFA_CAM;;Cesta, C;14-feb-19;2019;;1870;BK;GBP;FALSE;hybrid
10.1192/bjp.2020.152;Cambridge;YFA_CAM;;Du Rietz, E;24-juli-20;2020;;2650;BK;GBP;FALSE;hybrid
10.1017/s1368980020000099;Cambridge;YFA_CAM;;Eustachio Colombo, P;03-jan-20;2020;;1925;BK;GBP;FALSE;hybrid
10.1017/s0033291719003003;Cambridge;YFA_CAM;;Fernández de la Cruz, L;01-okt-19;2019;;1925;BK;GBP;FALSE;hybrid
10.1017/s1463423620000274;Cambridge;YFA_CAM;;Friman, A;15-juni-20;2020;;1925;BK;GBP;FALSE;gold
10.1017/s204579602000044x;Cambridge;YFA_CAM;;Gissler, M;04-apr-20;2020;;1985;BK;GBP;FALSE;gold
10.1192/bjp.2019.220;Cambridge;YFA_CAM;;Hollander, A;13-sep-19;2019;;2575;BK;GBP;FALSE;hybrid
10.1017/thg.2019.99;Cambridge;YFA_CAM;;Magnusson, P;31-maj-19;2019;;760;BK;GBP;FALSE;hybrid
10.1017/s1355617720000272;Cambridge;YFA_CAM;;Payton, N;11-feb-20;2020;;1870;BK;GBP;FALSE;hybrid
10.1017/thg.2019.76;Cambridge;YFA_CAM;;Pedersen, N;04-juni-19;2019;;735;BK;GBP;FALSE;hybrid
10.1017/s0144686x20000896;Cambridge;YFA_CAM;;Rosenberg, L;16-juni-20;2020;;1985;BK;GBP;FALSE;hybrid
10.1017/s1352465819000018;Cambridge;YFA_CAM;;Rozental, A;26-okt-18;2019;;1835;BK;GBP;FALSE;hybrid
10.1017/s104161021900173x;Cambridge;YFA_CAM;;Sindi, S;11-okt-19;2019;;2980;BK;GBP;FALSE;hybrid
10.1017/s2045796020000451;Cambridge;YFA_CAM;;Strand, M;27-apr-20;2020;;1985;BK;GBP;FALSE;gold
10.1017/s0033291719002423;Cambridge;YFA_CAM;;Sörberg Wallin, A;20-aug-19;2019;;1925;BK;GBP;FALSE;hybrid
10.1017/s1463423620000572;Cambridge;YFA_CAM;;Toth-Pal, E;03-nov-20;2020;;1925;BK;GBP;FALSE;gold
10.1192/j.eurpsy.2020.79;Cambridge;YFA_CAM;;Wasserman, D;15-aug-20;2020;;2000;BK;GBP;FALSE;gold
10.1017/s0033291719003908;Cambridge;YFA_CAM;;Vilaplana-Pérez, A;06-dec-19;2019;;1925;BK;GBP;FALSE;hybrid
10.1017/s0033291719002976;Cambridge;YFA_CAM;;Yao, S;26-sep-19;2019;;1925;BK;GBP;FALSE;hybrid
10.1192/bjb.2020.28;Cambridge;YFA_CAM;;Öhrmalm, L;24-feb-20;2020;;1721;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.niox.2020.01.013;Elsevier;YFA_ELS;;Professor. Mattias Carlström;05-feb-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.psym.2020.01.012;Elsevier;YFA_ELS;;Dr. Erland Axelsson;20-feb-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.cardfail.2020.03.004;Elsevier;YFA_ELS;;Dr. Carin Cabrera;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.ejca.2020.03.014;Elsevier;YFA_ELS;;Dr. Simon Ekman;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.bbih.2020.100045;Elsevier;YFA_ELS;;Dr. Fredrik Santoft;28-apr-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.berh.2020.101525;Elsevier;YFA_ELS;;Dr. Nina Brodin;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.redox.2020.101491;Elsevier;YFA_ELS;;Professor. Roman A. Zubarev;28-apr-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.envint.2020.105765;Elsevier;YFA_ELS;;Mr. Marcus Dahlquist;28-apr-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.vaccine.2020.04.020;Elsevier;YFA_ELS;;Dr. Cecilia Chrapkowska;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.forsciint.2020.110292;Elsevier;YFA_ELS;;Mr H. Druid;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.ijcard.2020.03.053;Elsevier;YFA_ELS;;Dr. Susanna C. Larsson;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.coi.2020.03.011;Elsevier;YFA_ELS;;Dr. Petter Brodin;28-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.exger.2020.110941;Elsevier;YFA_ELS;;Dr. Caterina Trevisan;29-apr-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.bbi.2020.05.024;Elsevier;YFA_ELS;;Dr. Ida AK Nilsson;07-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.amjcard.2020.04.048;Elsevier;YFA_ELS;;Dr. Andreas Roos;11-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.euf.2020.05.002;Elsevier;YFA_ELS;;Dr. Ashkan Mortezavi;12-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.clineuro.2020.105946;Elsevier;YFA_ELS;;Mr. Fritjof Norrelgen;19-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.envint.2020.105828;Elsevier;YFA_ELS;;Dr. Anna Beronius;20-maj-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.msard.2020.102077;Elsevier;YFA_ELS;;Ms. Chantelle Murley;22-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.ijporl.2020.109968;Elsevier;YFA_ELS;;Dr. Pia Nerfeldt;23-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.injury.2020.02.110;Elsevier;YFA_ELS;;Dr. Ann-Charlott Docherty Skogh;25-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.jpag.2020.05.005;Elsevier;YFA_ELS;;Ms. Hedvig Engberg;25-maj-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.neuroimage.2020.117005;Elsevier;YFA_ELS;;Ms. Moa G Peter;29-maj-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.bbi.2020.05.056;Elsevier;YFA_ELS;;Dr. Catharina Lavebratt;01-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.coemr.2020.05.004;Elsevier;YFA_ELS;;Dr. Anna Nordenstrom;02-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.jaip.2020.05.034;Elsevier;YFA_ELS;;Mrs. Maria Ödling;04-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.celrep.2020.107811;Elsevier;YFA_ELS;;Dr. Simon J. Elsässer;05-juni-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.celrep.2020.107808;Elsevier;YFA_ELS;;Dr. Mark A. Chapman;08-juni-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.nicl.2020.102310;Elsevier;YFA_ELS;;Mr. Gustav Mårtensson;08-juni-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.isci.2020.101253;Elsevier;YFA_ELS;;Dr. Christoph Nowak;29-juni-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.thromres.2020.06.027;Elsevier;YFA_ELS;;Dr. Alexander Fletcher-Sandersjöö;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.clnu.2020.06.018;Elsevier;YFA_ELS;;Mr. Felix Liebau;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.bone.2020.115508;Elsevier;YFA_ELS;;Professor Per Wandell;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.envpol.2020.114986;Elsevier;YFA_ELS;;Mrs. Maria Kippler;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.ijporl.2020.110229;Elsevier;YFA_ELS;;Dr. Elisabet Engström;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.schres.2020.06.001;Elsevier;YFA_ELS;;Mr. Granville J. Matheson;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.jhep.2020.06.007;Elsevier;YFA_ELS;;Dr. Hannes Hagström;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.envint.2020.105913;Elsevier;YFA_ELS;;Dr. Kristian Dreij;29-juni-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.yexcr.2020.112156;Elsevier;YFA_ELS;;Professor Urban Lendahl;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.fct.2020.111520;Elsevier;YFA_ELS;;Dr. Anna Beronius;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.bbrc.2020.06.063;Elsevier;YFA_ELS;;Dr. Per Antonson;29-juni-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.xphs.2020.07.001;Elsevier;YFA_ELS;;Prof. Volker Lauschke;06-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.plefa.2020.102156;Elsevier;YFA_ELS;;Professor Birgitta Strandvik;06-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.bbmt.2020.06.031;Elsevier;YFA_ELS;;Dr. Rachael Sugars;10-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.btre.2020.e00494;Elsevier;YFA_ELS;;Professor. Rudolf Ladenstein;13-juli-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.redox.2020.101646;Elsevier;YFA_ELS;;Dr. Elias Arnér;20-juli-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.jpainsymman.2020.07.020;Elsevier;YFA_ELS;;Prof. Peter Strang;24-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.biopha.2020.110582;Elsevier;YFA_ELS;;Dr Vesna Munic Kos;30-juli-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.jvsv.2020.07.005;Elsevier;YFA_ELS;;Dr Karolina Helczynska Hultman;30-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.fertnstert.2020.07.043;Elsevier;YFA_ELS;;Prof. Kenny Alexandra Rodriguez-Wallberg;30-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.zemedi.2020.07.003;Elsevier;YFA_ELS;;Professor Dzevad Belkic;30-juli-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.xcrm.2020.100078;Elsevier;YFA_ELS;;Dr. Petter Brodin;04-aug-20;2020;;1713;OPEN_APC_DE_AVG_GLD;EUR;FALSE;gold
10.1016/j.jmig.2020.04.038;Elsevier;YFA_ELS;;Dr Malin Brunes;04-aug-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
10.1016/j.athoracsur.2020.05.126;Elsevier;YFA_ELS;;Dr. Michael Persson;04-aug-20;2020;;2319;OPEN_APC_DE_AVG_HBRD;EUR;FALSE;hybrid
