institution;period;sek;doi;is_hybrid
ki;2021;16 217,76; 10.1097/pr9.0000000000000914;FALSKT
ki;2021;25 004,70;10.1001/jamanetworkopen.2021.0837;FALSKT
ki;2021;24 804,00;10.1001/jamanetworkopen.2021.1129;FALSKT
ki;2021;24 831,90;10.1001/jamanetworkopen.2021.5245;FALSKT
ki;2021;25 577,70;10.1001/jamanetworkopen.2021.7269;FALSKT
ki;2021;42 509,00;10.1001/jamasurg.2021.1438;SANT
ki;2021;15 232,95;10.1002/stem.3168;SANT
ki;2021;26 137,72;10.1016/j.exer.2021.108518;SANT
ki;2021;30 085,19;10.1016/j.jacbts.2021.02.005;FALSKT
ki;2021;22 272,96;10.1016/j.mcpro.2021.100065;FALSKT
ki;2021;36 207,40;10.1038/s41380-021-01040-1;SANT
ki;2021;15 898,29;10.1038/s41598-021-81662-1;FALSKT
ki;2021;17 621,06;10.1073/pnas.1921123118;SANT
ki;2021;45 562,17;10.1073/pnas.2009192117;SANT
ki;2021;51 157,00;10.1073/pnas.2016580118;SANT
ki;2021;42 776,73;10.1073/pnas.2017089118;SANT
ki;2021;33 566,31;10.1073/pnas.2018587118;SANT
ki;2021;15 214,65;10.1080/02813432.2021.1882079;FALSKT
ki;2021;22 323,43;10.1080/21505594.2021.1871822;FALSKT
ki;2021;35 704,59;10.1093/gerona/glab061;SANT
ki;2021;32 270,72;10.1093/nar/gkab054;FALSKT
ki;2021;28 801,64;10.1097/ede.0000000000001321;SANT
ki;2021;34 148,08;10.1097/j.pain.0000000000002169;FALSKT
ki;2021;1 775,45;10.1111/cen.14398;SANT
ki;2021;3 434,37;10.1111/joor.13148;SANT
ki;2021;1 707,14;10.1111/pai.13438;SANT
ki;2021;32 427,09;10.1126/sciadv.abc2931;FALSKT
ki;2021;37 169,55;10.1126/sciadv.abf0717;FALSKT
ki;2021;14 738,58;10.1126/scitranslmed.abb0192 ;SANT
ki;2021;32 031,58;10.1128/msystems.01302-20;FALSKT
ki;2021;14 782,25;10.5334/ijic.5505;FALSKT
ki;2021;16 698,75;10.1136/bmjopen-2020-040358;FALSKT
ki;2021;19 201,05;10.1136/bmjopen-2020-041133;FALSKT
ki;2021;21 186,19;10.1136/bmjopen-2020-044702;FALSKT
ki;2021;21 813,34;10.1136/lupus-2020-000454;FALSKT
ki;2021;32 485,49;10.1136/oemed-2020-107094;SANT
ki;2021;27 101,59;10.1136/rmdopen-2020-001379;FALSKT
ki;2021;15 522,43;10.1167/tvst.10.1.21;FALSKT
ki;2021;15 522,43;10.1167/tvst.10.1.22;FALSKT
ki;2021;38 637,32;10.1172/jci144734;SANT
ki;2021;5 050,77;10.1177/20416695211009928;FALSKT
ki;2021;15 471,68;10.1177/20451253211006508;SANT
ki;2021;31 898,48;10.1183/13993003.03468-2020;SANT
